plate_dr12q,mjd_dr12q,fiberid_dr12q,ra_dr12q,dec_dr12q,plate_dr16q,mjd_dr16q,fiberid_dr16q,ra_dr16q,dec_dr16q,separation
4262,55482,596,36.033039621924274,4.8186342454333495,8732,57418,839,36.03303960551574,4.818634230155127,8.055993802730954E-5
4238,55455,548,36.15018750410343,0.8307914023488471,7831,57016,954,36.15018750392322,0.8307914021093117,1.0790763168283426E-6
4262,55482,638,36.45183450848583,4.777094227633867,8732,57418,924,36.45183449104968,4.777094211387486,8.563580105115632E-5
4238,55455,348,36.86541223033298,-0.38088137613702344,7828,57039,356,36.86541223083487,-0.3808813701539004,2.161488849366799E-5
4344,55557,394,37.08383331046413,-2.414174981325378,7832,56904,112,37.08383330411984,-2.4141749921495004,4.515672089543724E-5
6369,56217,78,37.10287961767141,-4.2627724358448065,9319,58043,351,37.1028796291213,-4.262772420478719,6.891833910744845E-5
6781,56599,624,38.35554436401511,0.4874551845260058,9381,58073,498,38.35554436436439,0.4874551885967194,1.4708411640807643E-5
3745,55234,281,38.97942756386931,-1.225503740642742,7829,57011,764,38.97942756674723,-1.2255037365694386,1.7953306921151684E-5
3745,55234,854,39.587101996825766,0.2388057040697194,7825,57030,760,39.587101996695594,0.23880570244250748,5.876675457761468E-6
4261,55503,359,39.662440031034635,1.6568140903558468,7821,57279,482,39.66244003527214,1.65681407994527,4.0461427926975E-5
3651,55247,282,40.963314435047295,-1.1445459070265536,7825,57030,4,40.963314435047295,-1.1445459070265536,0.0
4241,55450,456,41.11188213879963,-0.9111580484026641,7822,57041,422,41.111882137918386,-0.9111580496217684,5.41510766447597E-6
7053,56564,114,41.72388741781457,-4.587844661484743,7879,57359,700,41.72389122905472,-4.587843921065964,0.013933831109613215
4241,55450,666,41.79945821811151,1.0961204701344853,7822,57041,664,41.799458219385315,1.0961204833024092,4.762572614662635E-5
4242,55476,504,42.6768963609652,0.593538989501814,7822,57041,918,42.67689635766368,0.5935389812429943,3.201916077268419E-5
7054,56575,643,42.732538286420144,-4.038769578028365,7879,57359,929,42.73253623430033,-4.038772013750696,0.011454026121922617
7054,56575,642,42.80489219374983,-3.9570600736696484,7878,57340,504,42.80489096067317,-3.9570611827307696,0.005962597494645575
4341,55538,342,43.31130530363096,-2.887810629522585,7823,56978,265,43.31130530473462,-2.8878106396023466,3.6503460595881476E-5
4242,55476,236,44.0259600432142,-0.19829984387236477,7820,56984,270,44.02596003951835,-0.1982998535134659,3.7170748877284266E-5
3656,55241,738,111.10738539093211,41.91400695615444,10656,58163,530,111.10738540289215,41.91400695574561,3.207391423538834E-5
5942,56210,602,112.64584975145516,44.706161404947345,11652,58484,551,112.64584976150593,44.7061614051736,2.5728852399531305E-5
3660,55209,407,112.82132674039805,43.5056361645099,11652,58484,424,112.82132675350861,43.50563616656734,3.5025159342598955E-5
3659,55181,706,113.136665129305,43.91678036527712,10655,58172,399,113.1366651412617,43.91678036728543,3.183849718157469E-5
4456,55537,448,113.16749022373631,27.011058941987766,11086,58401,914,113.16749023098095,27.011058939710896,2.4639174437810787E-5
3658,55205,58,113.81828694033902,39.769943120649685,9369,58054,612,113.81828694459176,39.76994312070309,1.1769005201171596E-5
3662,55182,268,113.91797946574528,36.05694516242178,9362,57801,522,113.91797946973759,36.05694516202201,1.1707869696460127E-5
3660,55209,194,114.00849538812913,44.27992723185609,10655,58172,776,114.00849538243314,44.279927230875465,1.5099231537761373E-5
3659,55181,64,114.73075057608563,42.25071363561457,8290,57364,600,114.73075056885733,42.25071363364324,2.052738293732007E-5
3671,55483,388,115.26478338583468,44.80984318962198,8306,57419,243,115.26478340778017,44.80984319207396,5.674004389208646E-5
3667,55566,234,115.45492518020228,36.711806380608316,9362,57801,782,115.4549251802095,36.71180638060734,2.1074364226389752E-8
3673,55178,636,115.59551235703987,46.73183687561051,10654,58429,248,115.59551240068053,46.73183688597864,1.139683539442763E-4
3669,55481,276,115.63691656141897,43.09666609397334,11652,58484,4,115.63691653533421,43.096666092896115,6.867926137967203E-5
